Datetime,Tweet,Quoted_tweet_count,Reply_count,Retweet_count,Like_count
01:16.0,#FathersDay https://t.co/u6uFh73l8w,76,614,799,5839
32:33.0,"Thank you, Michael. -AA https://t.co/ZmaMsIuCwM",68,532,533,2140
10:49.0,"It was my pleasure to participate in the wedding Fatiha of the daughter of my associate, Alhaji Mohammed Waziri Maina, at the National Mosque earlier today. It is my prayer that Allah SWT shower His blessings on the marriage. -AA https://t.co/qh5VtDvNfR",24,310,449,3134
50:22.0,"On behalf of my family, I wish to convey my deepest condolences to the Obaigbena family of the Owa kingdom of Delta State. May her soul rest in peace. -AA",3,81,77,623
50:21.0,Princess Obaigbena was a visible player in the health sector in the defunct Bendel State and eventually transferred her services to Delta State at the creation of the state. She meritoriously served three former governors of Delta State as Special Adviser on Health.,2,43,66,529
50:21.0,"I have received with sadness but with gratitude to God for a life fulfilled, the passing away of Princess Margaret Obaigbena, the beloved mother of the Chairman of THISDAY Newspapers and founder of Arise TV News, Prince Nduka Obaigbena. https://t.co/0gg9iYk5fd",21,564,594,2806
51:59.0,https://t.co/DG1li2KXGI,63,721,780,3728
01:46.0,"I am delighted to announce Governor  as my Vice Presidential candidate. I look forward to travelling our great country together, engaging with all Nigerians and building a shared future of peace, unity, and prosperity for all. As One We Can Get It Done. #OneNigeria. -AA https://t.co/JyKxTIhiUh",1950,6500,5938,21768
07:52.0,https://t.co/OO4QVPT3Xr,169,1258,929,4672
34:56.0,"It was my honour and pleasure to play host to the Turkish Ambassador to Nigeria, H.E. Hidayet Bayraktar, today. We discussed how bilateral relations between Nigeria and Turkey could be deepened to the mutual benefit of both countries. -AA https://t.co/NDBF71tTsT",259,1121,842,4982
32:29.0,"My expectation is that Nigerians will collapse the ruling APC in kind via the ballot and enthrone a viable pathway for the New Nigeria of our dreams that will be united and stable, prosperous and awash with opportunities; secured and inclusive. As One, we can get it done. -AA",77,449,458,1686
32:29.0,collapsing well-being and collapsing value of human life and dignity.,10,102,342,1251
32:28.0,"The darkness that has enveloped the nation in the last couple of days with the collapse of the national grid is a metaphor for the collapsing state of our nation: collapsing unity, collapsing security, collapsing economy, collapsing education,",544,2393,1552,6090
31:41.0,https://t.co/zczGbtLKlB,22,119,282,851
31:36.0,"Planning for a future beyond oil will mean enhancing other critical sectors for maximum output. The Agricultural Sector is one of such vital sectors, and to do this, we will: -AA https://t.co/sKevUzgasG",173,1072,1079,3624
26:13.0,"in helping Nigeria get out of the quagmire. I wish him many more years of service to our country and humanity in good health and long life. Happy birthday, Your Excellency. -AA",4,67,100,621
26:13.0,Nigeria has gone through a chequered history of trials and travails and produced leaders that helped to guide us out of those tough challenges. General Abdulsalami Abubakar is undoubtedly one of those great leaders who had played significant roles https://t.co/A1x9rOdOBL,23,218,383,1887
05:02.0,"On behalf of my family, I celebrate with him and the Uwais family on the occasion of his 86th birthday. -AA",1,61,137,851
05:01.0,"Former Chief Justice of Nigeria, Justice Mohammed Uwais, has distinguished himself through a remarkable legal career of excellence and with contributions that have so far enhanced our legal systems/knowledge base. https://t.co/vvLfJsqUe6",15,218,399,2670
35:21.0,"But dreams don't come true, if positive action is not activated and implemented. Let's not rest on our oars, let's be like the dynamic eagle and soar! Let's rekindle hope by not giving up on the dream of a better Nigeria. 

Long live Democracy in Nigeria. -AA #DemocracyDay",13,146,237,775
35:20.0,"Please trust yours truly, to deliver on these promises. We did it in the past under President Olusegun Obasanjo/Atiku Abubakar administration. We paid off Nigeria's global debt, and liberalized the banking and telecommunications sectors, among others.",46,143,283,870
35:20.0,"cut governance cost through devolution of powers to other tiers of government, and provide incentives to hardworking and entrepreneurial Nigerians.",11,45,178,525
35:19.0,"I will unify all and sundry, enforce solid security nationwide, create jobs through private sector unhindered participation and inclusivity, break government monopoly to give wings for business to thrive, provide enabling infrastructural environment to reduce cost of production,",31,101,227,578
35:19.0,"Let's work together to fix our country and return the boom of days of yore. Let's kick out the APC. 

I stand with you all on the drive to reposition our country for greatness.",27,89,180,480
35:18.0,"They squandered a precious political opportunity, by dashing the hopes of a trusting majority of the electorate. Not again, we should all clamour. Say no to the doom of bad governance; say yes to the prospect of a better Nigeria in 2023.",4,30,123,309
35:18.0,"At this juncture, the most pertinent tribute that we can effectively pay to our heroes past, those who struggled to enthrone and sustain Democracy in Nigeria, is to kick out the APC; a tainted government that was given a valuable mandate, but came unprepared about what to do.",5,16,126,244
35:17.0,due to no fault of the students and causing untold sorrow to their parents and sponsors; such a party should never be allowed to occupy esteemed offices in government at any level in our country.,3,15,128,253
35:17.0,"A government that impoverishes us, divides us along our fault lines, make us insecure, make us hungry, starve us of public amenities like electricity and fuel and perpetually shut down gates of universities against our undergraduates,",11,13,126,241
35:16.0,Here's the season to prove to dishonest APC politicians that power truly belongs to the people via the use of the ballots.,9,13,107,245
35:16.0,"The APC that couldn't offer Nigerians honesty on their pledged manifestos with regards to security, economic growth and anti-corruption; shouldn't be honoured with another wasteful tenure of pillage, brigandage and carnage!",33,77,219,410
35:15.0,"Hence, we should by next year, reject an inept, unpopular and insensitive and clueless APC government.

A ruling party that offers crass opportunism and cronyism can never elevate nor uplift a diverse and secular country as ours.",11,18,106,216
35:14.0,"It is visible that the Buhari administration has brought upon our commonality the worst form of government, where insecurity, disunity,  inequity, lack of job opportunity, dwindling economic prosperity and hyper inflation stare us all on the face.",6,19,106,190
35:14.0,Let's gather the numbers and commitment to kick out APC - the borrowing and sorrowing party. Let's remember that Nigeria's current debt burden stands at  over N41 trillion with less than $40billion reserve.,26,57,137,241
35:13.0,Thus time is ripe for all adult Nigerians to register to vote; vote and defend their votes. For people's participation is the beauty of democracy.,4,12,91,172
35:12.0,"Meanwhile, let's continue to do our civic duty and responsibility to salvage our dear country together; saving her from falling off precariously from the current socio-economic clift into an abysmal catastrophic end of a failed state, as predicted by some naysayers!",3,6,73,145
35:12.0,"Let's not despair by folding our arms in hapless helplessness. ""The last thing that should die in a person is hope"".",4,10,85,175
35:11.0,"by pursuing with vim and vigour the fundamentals of our Constitution, the pillars and principles of the rule of law, of electoral transparency and equity and unity in diversity.",3,6,61,131
35:11.0,"Let's seize this unique opportunity of Democracy Day to reinforce our firm commitment to the sacrifices made by the pioneers of our country's independence, and salute the courage and selflessness of the pathfinders of our current freedom and liberty;",2,8,63,123
35:10.0,"Hence, it is an auspicious period to rally around all compatriots; to think and work in concert for the unity, security, equity,  inclusivity, socio-economic prosperity and equitable development of our dear country.",2,5,70,136
35:10.0,"In fact, this historic June 12 as Democracy Day in Nigeria, is indeed one of the most epochal political events in our nation, just before the February 2023 General Elections.",3,13,75,172
35:09.0,"This year's Democracy Day provides us with no room to stomach rhyme and rhetoric. But salient facts, sobriety and the promise of a better tomorrow. https://t.co/Q5PaizKI67",158,1170,1078,4653
41:31.0,"The responses from all the stakeholders that I have met with reinforce the belief that as ONE, we can get it done. -AA",10,176,206,1013
41:30.0,"Yesterday, I had a pleasant and refreshing meeting with the forum of former governors of the . Steadily, the PDP is gearing for a phenomenal campaign ahead of the 2023 general election with a united front. https://t.co/P28DQokLl9",63,633,664,3525
00:00.0,The journey so far. -AA https://t.co/mmiOE7p6cN,259,787,1585,4359
33:55.0,"My post-PDP presidential primary consultations continued earlier today with the meeting with the Forum of Former Ministers. Once again, it was an opportunity to reinforce the imperative of unity as we prepare for the 2023 elections. -AA https://t.co/vb53DUkKHh",56,519,628,3328
58:51.0,"Our economic agenda has a comprehensive objective of providing a more hospitable environment for businesses to thrive and create jobs and wealth for Nigerian citizens. And to achieve these, I have three guiding principles to go by: -AA https://t.co/tTwCwPGVUy",288,1233,1287,4629
29:27.0,My meeting with the  Governors’ Forum today gives delightful assurance that the fabric of unity in our party continues to be strengthened. The energy to work together to win the general election and start the work of rebuilding the country is overwhelming. -AA https://t.co/H2Uy1Ey2It,43,430,696,3593
44:28.0,"Governors Nyesom Wike, , Samuel Ortom and Ifeanyi Ugwuanyi came calling on a courtesy visit before my meeting with the  Governors Forum. Slowly but surely, the seeds of unity are being planted in our party. -AA https://t.co/LWWOa2Ts9W",146,614,985,5350
43:52.0,"Congratulations, , on your emergence as your party's presidential candidate. It has been a hard-fought contest, but that you prevailed confirms your tenacity. -AA",1165,2351,3439,18882
18:41.0,"The APC can gloss over everything, but not its scorecard for the mandate Nigerians gave to the party. The 2023 elections will be a referendum on the failed policies of the administration. -AA",1716,3436,2748,11707
55:21.0,"It was a privilege to host the League of Igbo Entrepreneurs moments ago. The dialogue was not only robust, but it also afforded the opportunity to appraise the significant role that the private sector can play in the retooling of our country’s economic framework. -AA https://t.co/1im2C2H44k",151,737,592,3210
04:51.0,I shall be happier seeing them all take the Oath of Office and begin the real work of fixing Nigeria from the current sordid state into a more promising future. -AA,6,105,125,816
04:50.0,"I am happy to witness the collection of Certificates of Return by gubernatorial candidates of our great party, , today. I will work together with these compatriots to make the PDP the ruling party after next year’s general election. https://t.co/WCVkNbIweY",19,253,394,2325
30:38.0,"The private sector is critical to rejuvenating our ailing economy. And this is why repositioning the private sector is an integral part of my economic policy. To do this, we will: -AA https://t.co/AWLhAo0h6T",205,1188,1895,3818
21:41.0,https://t.co/4JCc8aC75v,19,145,303,1003
21:38.0,"National Security will be a key policy thrust of my administration. This is because a secured country is critical to the success of every sector of our nation. To take us to where we ought to be security-wise, this is what we will do: -AA https://t.co/ouvsmh5TAB",740,2627,1338,4711
19:07.0,"I pray that some day, very soon, we shall have a lasting solution to these painful episodes .-AA",126,728,398,2271
19:07.0,I do hope that the state government and relevant security agencies will leave no stone unturned in apprehending the criminals and bringing them to justice. I condole with the body of Catholic faithful in Nigeria.,64,398,364,2043
19:06.0,"I condemn the attack on the St Francis Catholic Church, Owa-luwa Street, in Owo council area of Ondo State capital. My prayers are with the people of Owo, especially families of the deceased.",3109,9253,2397,13662
42:48.0,Join us. https://t.co/cdIQYFEP3Z https://t.co/meVE0FIjUO,333,1912,1138,5187
46:42.0,"I excitedly paused my domestic activities to receive our able Gov Aminu Tambuwal when he paid me a courtesy visit. We discussed a wide range of issues, especially the need for our party, the , to stand united ahead of the 2023 elections. -AA https://t.co/CbHcNSSthh",68,425,444,2494
30:15.0,"It is reassuring that our party will contest the general election as one united family. Thank you for the time, Your Excellency. -AA",5,113,135,710
30:14.0,"Earlier this morning, I hosted the governor of Abia State, His Excellency Okezie Ikpeazu. We had good discussions about moving our party, , forwards. https://t.co/JBVT9y0q0L",149,1004,384,3092
17:49.0,"It was a collective effort, and I am very grateful for everybody’s contributions. Now, let’s get to work to unite and rebuild Nigeria. -AA https://t.co/MndS2wSCT3",50,454,460,1791
09:10.0,I am proud of the promises that this spirit of camaraderie holds for our party as a united front that guarantees victory in the next election to rescue the country. -AA,14,147,182,948
09:10.0,"It was a pleasure to receive His Excellency Nyesom Wike in the company of notable leaders and officials of our great party, , at my residence today. https://t.co/PtCE0wX1gI",98,594,719,4331
34:11.0,"gives me and assurance of a better tomorrow. Now, the real work begins. -AA",10,154,106,766
34:10.0,"The love and unity shown by Governors of our great party, the , my worthy co-aspirants, the NWC, our leaders past and present, stakeholders and party faithful and supporters at the collection of my Certificate of Return as the PDP presidential candidate https://t.co/fUh0XmDtod",49,328,410,2000
18:58.0,"I have just arrived at the Wadata Plaza, headquarters of the , to collect the Certificate of Return as the presidential candidate of our great party, the PDP. A significant step toward creating One Nigeria. -AA",154,1626,839,5658
40:01.0,"My family and I wish you, Sen. Ehigie Uzamere, a happy birthday. Here's a toast to more years in good health and vitality. -AA https://t.co/GaE5tnYQDq",6,125,145,930
30:16.0,"It was my honour and pleasure playing host to H.E Namadi Sambo, H.E Sule Lamido, H.E Attahiru Bafarawa and Alh Mohammed Hayatu-Deen. The congratulatory visit afforded us to discuss how to strengthen the bond of unity in our dear party, the , among others. -AA https://t.co/aeYYruWTee",44,410,527,2646
18:39.0,"A peace initiative is the best tool to combat insecurity. When we unite our people, our peace is more guaranteed. Join my campaign at https://t.co/fN533D7LAJ -AA https://t.co/MHmqItq8v5",136,972,624,3052
03:37.0,"I was also at the residence of Senator Anyim Pius Anyim to pay him a courtesy visit and consult with him on strengthening the cohesion in our great party, . -AA #OneNigeria https://t.co/no5jq8ithW",34,390,409,2657
09:59.0,"To unify our country Nigeria, we have to start with bringing every member of the  under the covering of the umbrella. My visit to  not long ago underscores this commitment. More to follow. -AA https://t.co/UgpQGMpbEi",75,482,597,3348
18:13.0,"In continuation of my commitment to bring everyone on board in ensuring that the  stands as one united party, earlier today, I visited His Excellency Gov Nyseom Wike at his Abuja residence. This is a continuous process. -AA https://t.co/3qGM9OadHi",134,1126,932,5756
18:17.0,"As one, we can get it done. Join the campaign here https://t.co/cdIQYFEP3Z -AA https://t.co/cRm9FRrmiC",96,626,795,2941
57:49.0,"Join The Movement today. Together, we can rebuild and unite our great country. See you on the campaign trail. #OneNigeria 👉🏾 https://t.co/cdIQYFEP3Z https://t.co/LngjghaQSm",211,1941,1440,7100
48:03.0,"Today, the battle to rebuild and unite our great country moves forward. I’m honoured to be named the  candidate. I look forward to speaking with Nigerians across the country, taking the message of hope and unity as we build one future for one people.-AA #OneNigeria https://t.co/6HdbwUOde0",1054,5051,3994,17755
45:25.0,"Thank you, H.E , for your spirited campaign. I look forward to working with you as we unite our party and our country. -AA #PDPPresidentialPrimaries",376,1429,2200,10236
15:12.0,Behold the SEED of UNITY that will blossom into One People with One Future and One Country. #OneNigeria https://t.co/ubGSKeYlRx,44,320,1290,1458
15:00.0,My message to our dear PDP delegates. -AA https://t.co/qThlNqfe8N,183,827,816,3168
10:32.0,"Protecting these precious children is a responsibility that the government and security personnel cannot take lightly. By protecting them, we are protecting our country's future and building one future for one Nigeria! -AA",11,104,81,487
10:32.0,"With a solid education, each Nigerian child will grow to learn that we can all do more when we work together than when we are divided.

It is imperative that our children in schools in all parts of Nigeria must study in safety, without fear of being kidnapped, attacked or raped.",8,49,79,483
10:31.0,"Education will open the minds of these little jewels and power nation-building, especially in dispelling tribalism and other clannish divisions by expanding their minds to see a world beyond their village or tribe.",2,9,29,110
10:31.0,"My background, the loss of my father at an early age and the environment in which I grew up, were all factors that could have counted against me, but my going to school was the game changer; it made all the difference.",4,14,31,127
10:30.0,I know from personal experience how getting an education can transform someone's life and influence their destiny in unimaginable ways.,4,22,26,147
10:30.0,Equipping our children with a solid education is the best way to enable them to achieve their dreams and surmount whatever challenges that society might throw at them.,6,19,35,155
10:29.0,"On this occasion of Children's Day, I wish to restate my call for a renewed focus on education in Nigeria, with particular attention paid to ensuring that our country's children are safe in their classrooms when they learn.
#ChildrensDay",127,1212,374,3028
08:15.0,As One We Can Get It Done. -AA https://t.co/j6c7mm5l4f,123,677,367,1503
52:41.0,https://t.co/y5EsemUwlG,2581,5736,1875,8222
06:42.0,"“Atiku is not only a great unifier, he's undoubtedly a great changer who has touched the lives of many people.” -Dr Christopher Nwanoro https://t.co/cZ7FxSsQv7",32,233,157,573
49:36.0,"""As a friend of all, a bridge-builder and above all a unifier, Atiku is the leader we need to fix the divisions in our land."" - Hon Charles Iliya. https://t.co/j2ZWEi8oWP",92,478,212,890
55:49.0,"Today, I paid a condolence visit to the UAE Ambassador to Nigeria, His Excellency Dr Fahad Obaid Al-Taffaq, , over the death of the country’s late former President, Sheikh Khalifa bin Zayed. May God accept his soul and comfort his family and his people. -AA https://t.co/DZLRCjxofG",26,216,194,1267
40:02.0,I am delighted and appreciate the feedback and the impressive reception I received. Most thankful to H.E  and other leaders of our party. -AA,2,30,57,362
40:02.0,"On Saturday, when I visited Taraba in the wrap-up phase of my consultations with leaders and esteemed delegates of our great party, , it was an opportunity to discuss my policy framework, which is centred on the need for national unity and One Nigeria. https://t.co/j5KpRBNiyH",33,257,229,1304
34:58.0,"It was my pleasure and that of  to have HE Mary Beth Leonard, US Ambassador to Nigeria, as the Commencement Speaker at AUN's 13th Commencement Ceremony in Yola, today. -AA https://t.co/L9gsUXXllM",16,134,186,1065
07:40.0,"Their consensus was that given the divisions in our land and the broken socio-economic fabric, I was best suited to provide the leadership to ensure that we are One People powered by One Future and One Country. -AA",7,52,49,257
07:39.0,"The meetings with  in the three states were fruitful, and the leaders and delegates were convinced about the viability of my policy prescription, especially as it relates to security, economic reforms and education.",7,44,61,287
07:39.0,"My consultative trips to Jigawa, Gombe and Bauchi yesterday were remarkable in more ways than one. Jigawa was a homecoming of sorts because of my deep fraternal roots in the state. https://t.co/av24XTeQfY",14,203,204,1008
28:17.0,“We need a mentor.” - Dr Ahmed Adamu. https://t.co/yBPJZ1jwbR,35,183,176,604
32:38.0,"address the issue of insecurity frontally, re-energize the economy and bring the platform for good governance closer to the people. I wish to express my sincere appreciation to these three states for honouring our invitation with such a large turnout. -AA",4,41,55,263
32:37.0,"Today, I met with leaders and esteemed delegates of the  from Zamfara, Yobe and Borno states. They agree with the workability of our policy plan encapsulated in the Unity-SEED framework, which, essentially, is to unite the country, https://t.co/81HESN51hx",24,163,158,756
00:10.0,"I also thank leaders and members of our party in both states for their generous welcome. As One, we can get it done! -AA",5,56,72,345
00:09.0,"In Birnin-Kebbi and Kano yesterday, when I met with leaders and esteemed delegates of our great party, , I was overwhelmed at the acceptance my campaign agenda received from our party members, specifically endorsing my plan as good for the country at this moment. https://t.co/DWWV0UDlK3",21,93,179,759
43:14.0,I’m happy to have met her in good condition. She prayed for my success and peace and unity to return to our dear country. -AA,7,77,128,765
43:13.0,"My visit to Katsina would be incomplete without a stopover at the Yar’Adua family compound. Hajjia Aya Dada Yar’Adua, the mother of my late mentor, Tafida Shehu Musa Yar’Adua and former President Umaru Yar’Adua, has been a mother figure to me since my association with the family. https://t.co/FDf2YKw9Yn",111,660,738,5578
40:26.0,"I must express my appreciation for the high display of love from everyone. Thank you, Katsina. -AA",2,28,65,291
40:26.0,"It was an opportunity to reaffirm my commitment to the Unity-SEED policy framework, which, in particular, will pay attention to the worsening security situation in Katsina State and also open up the business and economic potentials of the state.",4,22,56,266
40:25.0,My consultations with leaders and esteemed delegates of the  continued today in Katsina State. https://t.co/u69GDyYWiT,14,81,169,770
20:38.0,"I assured them, among others, that we will enthrone a regime of security and unity that will give the people of the state the opportunity to engage in the productive aspects of their lives. -AA",5,50,72,309
20:36.0,"The turnout was tumultuous, and the reception in Kaduna yesterday was impressive. My meeting with  leaders and delegates was fruitful. https://t.co/CgblsUw3WX",14,95,164,714
31:26.0,"Thank you, Nasarawa, for the huge turnout. Special thanks to leaders and esteemed delegates of our great party, , for believing in my campaign agenda. -AA
#OnePeople
#OneFuture
#OneCountry https://t.co/7xQzu2Vunz",12,125,137,654
39:44.0,"As one, we will build the Nigeria of our dreams. -AA",13,100,61,326
39:43.0,I had a robust consultative meeting with Akwa Ibom  leaders and delegates. They keyed into my vision of a united and secured Nigeria where inclusiveness and devolution of powers and resources to the states will unlock the best of our people. https://t.co/DI8mdMsZ3Q,13,158,131,747
05:43.0,I am well aware of the challenges that beset the state. Our esteemed delegates agree that my campaign agenda is most suited to address those challenges. They also accept that my diverse experiences will be valuable assets in unifying the country and revamping the economy. -AA,8,74,84,288
05:42.0,"My consultations with leaders and delegates of the  in Jos this afternoon afforded me an opportunity to see some longtime associates. The Plateau, for me, is a homecoming. https://t.co/EsTu4atYel",14,109,145,651
21:55.0,They agreed with me that no one is better positioned to protect the interest of Benue State other than the one connected to Benue - the Zege Mule’U Tiv. -AA,7,48,53,244
21:55.0,"I intimated them about our campaign agenda anchored on my 5-point Unity SEEDs policy plan to unite the country, restore law and order, revamp the economy, education reforms and transfer of resources and responsibilities to the state and local governments.",2,18,56,212
21:54.0,"It was a spectacular reception today in Makurdi during our consultative session with leaders and esteemed delegates of our great party, . https://t.co/RL5mE5htiZ",10,60,113,486
39:38.0,"I just arrived in Benue State for my consultative meeting with  leaders and delegates, but first, I am paying a condolence visit to H.E Deputy Governor Benson Abounu, over the loss of his son recently. -AA https://t.co/8ZhoyaNePy",18,269,146,1133
40:32.0,I am excited to share the highlights of the latest edition of Atiku Abubakar TownHall Meetings held in Abuja over the weekend. https://t.co/Rnz1NQXL08,36,166,168,610
11:22.0,promote entrepreneurship and unleash the full potentials of the people of the states to their benefit and the benefit of the rest of Nigeria. -AA,10,56,59,297
11:22.0,"My consultative trips to Abia and Imo and engagements with  leaders and delegates affirm that a deliberate policy of inclusiveness, security and infrastructure will https://t.co/IvTqX9eCru",16,110,118,682
35:11.0,"Together, we can get it done. -AA",30,238,83,490
35:10.0,"I was honoured to be part of the Atiku Town Hall Meeting earlier today in Abuja. The consensus is that if we can enthrone a regime of security and unity, it will pave the way for the economic policies that will usher in prosperity and economic development to take firm root. https://t.co/Lp5dGE9HMH",41,380,238,1263
42:22.0,"the hospitality that I received did not disappoint the natural warmth you get in Calabar. I thank everyone, leaders and esteemed members of our great party, for honouring our invitation and for their acceptance of my campaign agenda. As One, we can get it done. -AA",8,71,63,307
42:21.0,"My attraction to Cross River State is the diversity of its people and cultures. It’s one destination I always want to be, and when I arrived in Calabar yesterday in continuation of my consultations with  delegates, https://t.co/jCd9Oz5ZJu",24,260,149,911
36:25.0,I’m more than delighted that the delegates and party leaders roundly acknowledge my campaign agenda as ideal for the times our country is in. -AA,3,81,70,345
36:25.0,"I had a robust conversation with the delegates and told them that just as Gov. Wike asked for 50 per cent in Adamawa, I am asking for 60 per cent in Rivers.",29,116,94,564
36:24.0,"My arrival in Port Harcourt today was greeted with an impressive welcome. I should say that I owe much of it to Governor Wike for keeping the flag of our party, , flying in Rivers State. https://t.co/R0WoRFKvKx",49,346,190,1144
31:22.0,"As the Obi of Onitsha, he has brought the strength of his experience to bear in promoting peace and unity in his domain. On his 81st birthday celebration, my family and I join many more in wishing him greater wisdom in the service of his people and more years in good health. -AA",8,98,42,277
31:20.0,"The Obi of Onitsha, His Royal Majesty Igwe Alfred Nnaemeka Achebe, has had a distinguished career in the private sector and continues to enjoy an outstanding stint in the public service. https://t.co/J1rT8GtabM",46,309,102,916
55:20.0,"We were on the same page on the need for unity, devolution of powers and more resources to the states and LGAs and inclusiveness in governance. Together, we can enthrone a Nigeria that works for the greater good. #OneNigeria -AA",16,251,58,347
55:19.0,"Yesterday I was honoured to meet with amazing leaders and delegates of  in Delta and Edo. We discussed the issues confronting them, the party and our country. https://t.co/jVwAynRbCe",26,311,123,807
00:01.0,"""The type of resilience you have demonstrated is not common, and this speaks about your character."" - Former Governor of Ondo State, H.E Olusegun Mimiko. https://t.co/H9pxYiYqvp",28,159,121,440
35:10.0,"The , the world's tallest man-made structure named after him, is a metaphor for his accomplishments. My condolences to the family and government, and the people of the UAE. May Allah forgive his shortcomings and grant him Aljannah Firdaus. Ameen.",18,198,57,422
35:09.0,"His Highness Sheikh Khalifa Bin Zayed was a visionary leader whose transformational work in the United Arab Emirates will stand the test of time. Under his leadership, the UAE commenced the foundational development that has seen it literally reach for the sky. https://t.co/56hzaZM2Ig",185,827,180,1616
06:03.0,I assure esteemed delegates of the  in Bayelsa that your confidence in our campaign agenda shall not be betrayed.,6,177,51,363
06:02.0,"Thank you, Bayelsa. The reception you accorded me and my delegation was phenomenal, and I’m most grateful for it. More thanks to H.E Governor Douye Diri for being a wonderful host. https://t.co/0FwFcC5koB",94,885,240,1827
23:35.0,"“The situation we find ourselves today is perhaps the worse this country has ever been. It will require all the attributes that you have. You are a veteran in this battle, and your success will be our collective success."" - Former Governor of Cross River State, H.E Donald Duke. https://t.co/zsOh3bQADd",153,1044,256,947
00:00.0,"""What has not been done cannot be done except with methods that have not been tried. And you have demonstrated you can do it."" - Former Governor of Kwara State, H.E Abdulfatah Ahmed. https://t.co/VXX3N7heR3",195,1200,270,1247
